,index,GameID,gametime,name,Minutes,Start,active,DKP,Team,Opp,home,team_pts,opp_pts,dk_sal,dk_pos,dk_change,Stats,DoubleD,min_7d_avg,min_90d_avg,dk_avg_90_days,opppts_avg,dk_per_min,DKP_trans,dk_sal_increase,dk_sal_decrease,dk_std_90_days,dk_max_30_days
16479,2016-03-21 00:00:00,20160321-sac-chi,20.0,Aaron Brooks,,,,,chi,sac,H,,,3000.0,1.0,0.0,,,15.062500000000025,16.32938596491228,13.401315789473685,110.63744075829383,0.8206870618570546,,False,False,8.203192249775144,21.5
16685,2016-03-21 00:00:00,20160321-sac-chi,20.0,Bobby Portis,,,,,chi,sac,H,,,4500.0,4.0,100.0,,,23.745833333333348,18.722222222222218,17.077380952380953,110.63744075829383,0.9121449766850362,,True,False,9.940599201531162,36.5
20871,2016-03-21 00:00:00,20160321-sac-chi,20.0,Pau Gasol,,,,,chi,sac,H,,,7600.0,5.0,0.0,,,,33.30601851851852,44.3125,110.63744075829383,1.3304652423513712,,False,False,12.28142834294355,74.0
21449,2016-03-21 00:00:00,20160321-sac-chi,20.0,Marcus Simmons,,,,,chi,sac,H,,,,,,,,,,,110.63744075829383,,,False,False,,
24197,2016-03-21 00:00:00,20160321-sac-chi,20.0,E'Twaun Moore,,,,,chi,sac,H,,,4000.0,2.0,-300.0,,,17.755555555555556,24.666161616161617,18.068181818181817,110.63744075829383,0.7325088556276745,,False,True,11.238930791712754,38.0
24471,2016-03-21 00:00:00,20160321-sac-chi,20.0,Cameron Bairstow,,,,,chi,sac,H,,,3000.0,4.0,0.0,,,,6.010714285714287,5.214285714285714,110.63744075829383,0.867498514557338,,False,False,4.36865709745739,10.5
26868,2016-03-21 00:00:00,20160321-sac-chi,20.0,Tony Snell,,,,,chi,sac,H,,,3000.0,3.0,0.0,,,6.983333333333316,18.238888888888894,10.604166666666666,110.63744075829383,0.5814042034724336,,False,False,8.167088788896217,26.5
27077,2016-03-21 00:00:00,20160321-sac-chi,20.0,Nikola Mirotic,,,,,chi,sac,H,,,5200.0,4.0,100.0,,,27.25416666666665,24.80064102564102,23.48076923076923,110.63744075829383,0.9467807387112618,,True,False,11.65824237973355,32.0
27284,2016-03-21 00:00:00,20160321-sac-chi,20.0,Jake Anderson,,,,,chi,sac,H,,,,,,,,,,,110.63744075829383,,,False,False,,
27492,2016-03-21 00:00:00,20160321-sac-chi,20.0,Stefhon Hannah,,,,,chi,sac,H,,,,,,,,,,,110.63744075829383,,,False,False,,
126,2016-03-21 00:00:00,20160321-den-cle,19.0,Kyrie Irving,,,,,cle,den,H,,,7400.0,1.0,-200.0,,,34.82916666666668,31.255158730158726,32.49404761904762,105.45291479820628,1.039637901044907,,False,True,11.57353057828326,45.0
201,2016-03-21 00:00:00,20160321-den-cle,19.0,Quinn Cook,,,,,cle,den,H,,,,,,,,,,,105.45291479820628,,,False,False,,
1901,2016-03-21 00:00:00,20160321-den-cle,19.0,LeBron James,,,,,cle,den,H,,,9200.0,3.0,-100.0,,,33.08333333333329,35.24404761904761,46.06547619047619,105.45291479820628,1.3070427292687048,,False,True,9.141179195529697,59.75
2254,2016-03-21 00:00:00,20160321-den-cle,19.0,D.J. Stephens,,,,,cle,den,H,,,,,,,,,,,105.45291479820628,,,False,False,,
2942,2016-03-21 00:00:00,20160321-den-cle,19.0,Iman Shumpert,,,,,cle,den,H,,,3700.0,2.0,0.0,,,23.708333333333325,24.913008130081298,15.878048780487806,105.45291479820628,0.6373396860620697,,False,False,8.579248574179498,43.5
3011,2016-03-21 00:00:00,20160321-den-cle,19.0,Maurice Williams,,,,,cle,den,H,,,3000.0,1.0,0.0,,,,9.346666666666664,5.666666666666667,105.45291479820628,0.6062767475035665,,False,False,4.25699704128671,1.25
3925,2016-03-21 00:00:00,20160321-den-cle,19.0,Dionte Christmas,,,,,cle,den,H,,,,,,,,,,,105.45291479820628,,,False,False,,
4285,2016-03-21 00:00:00,20160321-den-cle,19.0,Nick Minnerath,,,,,cle,den,H,,,,,,,,,,,105.45291479820628,,,False,False,,
5563,2016-03-21 00:00:00,20160321-den-cle,19.0,Richard Jefferson,,,,,cle,den,H,,,3000.0,3.0,0.0,,,17.279166666666658,14.46666666666667,8.897435897435898,105.45291479820628,0.6150301311591633,,False,False,6.893627384441341,30.0
6584,2016-03-21 00:00:00,20160321-den-cle,19.0,Channing Frye,,,,,cle,den,H,,,3600.0,4.0,0.0,,,18.454166666666676,16.059313725490192,13.654411764705882,105.45291479820628,0.8502487714050245,,False,False,7.571381200273659,35.75
8056,2016-03-21 00:00:00,20160321-den-cle,19.0,Jack Cooley,,,,,cle,den,H,,,,,,,,,,,105.45291479820628,,,False,False,,
8127,2016-03-21 00:00:00,20160321-den-cle,19.0,James Jones,,,,,cle,den,H,,,3000.0,2.0,0.0,,,10.8,8.916666666666663,4.842105263157895,105.45291479820628,0.5430398425971473,,False,False,4.648185522864891,9.25
11196,2016-03-21 00:00:00,20160321-den-cle,19.0,Timofey Mozgov,,,,,cle,den,H,,,3000.0,5.0,0.0,,,13.594444444444434,16.0984126984127,13.380952380952381,105.45291479820628,0.8311970025635967,,False,False,6.803253816041408,25.5
14095,2016-03-21 00:00:00,20160321-den-cle,19.0,Kevin Love,,,,,cle,den,H,,,6700.0,4.0,-300.0,,,26.8125,31.13130081300812,33.26219512195122,105.45291479820628,1.0684486113106046,,False,True,10.88217453273819,52.5
17490,2016-03-21 00:00:00,20160321-den-cle,19.0,Austin Daye,,,,,cle,den,H,,,,,,,,,,,105.45291479820628,,,False,False,,
17758,2016-03-21 00:00:00,20160321-den-cle,19.0,Michael Dunigan,,,,,cle,den,H,,,,,,,,,,,105.45291479820628,,,False,False,,
18743,2016-03-21 00:00:00,20160321-den-cle,19.0,Chris Johnson,,,,,cle,den,H,,,,,,,,13.379166666666677,15.627519379844957,10.215116279069768,105.45291479820628,0.6536620451896131,,False,False,6.807204996700896,13.5
